route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
10__ML1___,10_I12,10_I12-510_2023I12_10:06:00_1_22_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_10:06:00_2_22_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_10:15:00_1_23_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_10:15:00_2_23_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_10:24:00_1_24_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_10:24:00_2_24_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_10:33:00_1_25_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_10:33:00_2_25_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_10:42:00_1_26_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_10:42:00_2_26_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_10:51:00_1_27_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_10:51:00_2_27_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:00:00_1_28_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:00:00_2_28_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:09:00_1_29_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:09:00_2_29_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:18:00_1_30_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:18:00_2_30_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:27:00_1_31_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:27:00_2_31_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:36:00_1_32_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:36:00_2_32_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:45:00_1_33_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:45:00_2_33_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:54:00_1_34_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_11:54:00_2_34_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_12:03:00_1_35_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_12:03:00_2_35_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_12:12:00_1_36_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_12:12:00_2_36_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_12:21:00_1_37_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_12:21:00_2_37_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_12:30:00_1_38_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_12:30:00_2_38_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_12:39:00_1_39_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_12:39:00_2_39_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
